1;19629;T0391535844;BRPGD9600090
1;23880;T0391535844;BRBMG9700282
1;579191;T0391535844;BRSME9400075
1;705173;T0391535844;BRABZ0300234
1;2164817;T0391535844;BRMCA9000102
1;2579550;T0391535844;
1;9719992;T0391535844;BR8ND1400088
1;10429754;T0391535844;BRSME1400976
1;11605350;T0391535844;BRSME7900007
1;17449579;T0391535844;BR2RA1800092
7;18644;T0390636697;BRSME9500466
7;33185;T0390636697;BRSME9800604
7;604938;T0390636697;BRSME0200416
7;1452428;T0390636697;BRSME0800737
8;8157;T0390261569;
8;9823;T0390261569;
8;12642;T0390261569;BRPRX9801143
8;20479;T0390261569;BRPGD9600298
8;21295;T0390261569;BRSME9600301
8;21545;T0390261569;
8;28339;T0390261569;BRVRD9700001
8;30098;T0390261569;BRWMB9804295
8;317069;T0390261569;BRMCA0100571
8;429919;T0390261569;BRESM9900096
8;429930;T0390261569;BREMI7100112
8;429961;T0390261569;BRSGL9900223
8;483554;T0390261569;BRBMG0200456
8;485325;T0390261569;BRSGL0200164
8;832416;T0390261569;BRSGL9900211
8;1066775;T0390261569;BRMCA7000090
8;1520406;T0390261569;BRVRD0900001
8;1559353;T0390261569;BRRGE0900073
8;1695208;T0390261569;BRRGE0000071
8;2499683;T0390261569;BRWMB9802513
8;2593409;T0390261569;BRG6Y1200019
8;11430950;T0390261569;BRUM71500853
8;14197167;T0390261569;
10;11493;T0044064847;BRSGL9100153
10;48626;T0044064847;BREMI0000110
10;51351;T0044064847;BRMCA0000248
10;2578882;T0044064847;
10;2595933;T0044064847;BREMI0401126
10;3255925;T0044064847;BREMI7800069
10;15106264;T0044064847;BRUM71704984
11;9768;T7000010197;BRSME8900068
11;24141;T7000010197;
11;1416274;T7000010197;BRDEP0600004
11;10079347;T7000010197;BRPUI1400446
19;7130;T0391339528;
19;815092;T0391339528;BRAPI0400406
19;1822110;T0391339528;BRCHX1000044
19;1854432;T0391339528;BREMI8700007
19;16067451;T0391339528;BRUV71700638
19;20551001;T0391339528;
20;33067;T0390261616;
20;312781;T0390261616;BRSME9800140
20;316846;T0390261616;BRMCA0100468
20;441733;T0390261616;BRAMD0200069
20;443769;T0390261616;BRDEP0100097
20;625580;T0390261616;BRFA50300023
20;629612;T0390261616;BRMCA7800127
20;810489;T0390261616;BRMCA0400614
20;1576629;T0390261616;BRAPF0900047
20;2438399;T0390261616;BRAPF1100017
20;2578255;T0390261616;
20;2743854;T0390261616;BR0P71200011
20;10389737;T0390261616;
20;18755002;T0390261616;BRAPF1900058
22;668125;T0390261638;BREMI9700257
22;1601421;T0390261638;BREMI9500344
27;36607;T0392347680;BRSGL9900019
27;470192;T0392347680;BRSME0200126
27;862759;T0392347680;BRSME9600368
27;14280372;T0392347680;BRPUI1700134
27;17435361;T0392347680;BRUM71801651
29;13455;T0390261661;
29;18689;T0390261661;BRSGL9500203
29;55012;T0390261661;
29;504095;T0390261661;BRBMG9300314
29;581442;T0390261661;BRSGL0300073
29;714669;T0390261661;BRESM0300455
29;1012409;T0390261661;BRSGL6800033
29;1526063;T0390261661;BRMVP0900236
29;3288878;T0390261661;
29;9719994;T0390261661;BRELD1300003
29;12681763;T0390261661;BRMVP0300251
32;249088;T0392305826;BRMCA8000163
32;249089;T0392305826;
32;1352840;T0392305826;BRPUI0800047
32;1691402;T0392305826;BRSME9700196
32;1695607;T0392305826;BRRWC0900261
32;2333218;T0392305826;BRB9B1100010
32;11381018;T0392305826;BRUKM1500014
32;17190625;T0392305826;
32;18783384;T0392305826;
33;352018;T0426471853;
33;352019;T0426471853;BRSME0100088
33;947359;T0426471853;BRMUD0400029
33;1035455;T0426471853;BRBMG0200580
33;1075473;T0426471853;BRLUM0300054
33;1090168;T0426471853;BRUM70600247
33;1203872;T0426471853;BRUV70600206
33;2593007;T0426471853;BRUM71201167
34;52948;T0390261694;BRCID0000256
34;573886;T0390261694;BRGCD0300043
35;11672;T0390879750;
35;35607;T0390879750;BRBMG9900046
35;53599;T0390879750;
35;55349;T0390879750;
35;249097;T0390879750;
35;312235;T0390879750;BRMZA0100069
35;424103;T0390879750;
35;424165;T0390879750;BRSGL9700209
35;424416;T0390879750;BRPGD9400380
35;424432;T0390879750;BRRGE9900376
35;424563;T0390879750;
35;430150;T0390879750;
35;444185;T0390879750;
35;496619;T0390879750;BRWMB0200263
35;1047580;T0390879750;
35;1130077;T0390879750;BRSGL6000013
35;2359022;T0390879750;BRAZ11100004
35;19501376;T0390879750;
43;8299;T0390261707;
43;13680;T0390261707;BRMVP0401081
43;26084;T0390261707;BREMI9700663
43;37438;T0390261707;
43;53990;T0390261707;BRESM0000399
43;395285;T0390261707;BRMCA0200149
43;535842;T0390261707;BRSGL8800034
43;583919;T0390261707;BREMI7200097
43;666352;T0390261707;BRDEP0400010
43;854283;T0390261707;BRDEP0500105
43;1045447;T0390261707;BREMI7400027
43;1341409;T0390261707;BRDEP0800091
43;1392593;T0390261707;
43;2592905;T0390261707;BRPOU0800071
43;2732824;T0390261707;BRKUA7800004
43;12231525;T0390261707;BR3UN1500048
45;16719;T7001085298;BRSME9400575
45;489873;T7001085298;
45;832863;T7001085298;
45;943391;T7001085298;BRVLS0200017
47;811264;;BRFRB0300019
47;812788;;
47;1092733;;BREMI9700993
47;1107844;;BRSGL9500361
47;2295924;;BRBQ21100019
47;2550880;;BRWMB0102323
47;12459853;;BR03D1600221
47;15085299;;BR03D1300722
49;17507;T0390967368;BRPGD9500350
