work_id,track_id
1,19629
1,23880
1,579191
1,705173
1,2164817
1,2579550
1,9719992
1,10429754
1,11605350
1,17449579
7,18644
7,33185
7,604938
7,1452428
8,8157
8,9823
8,12642
8,20479
8,21295
8,21545
8,28339
8,30098
8,317069
8,429919
8,429930
8,429961
8,483554
8,485325
8,832416
8,1066775
8,1520406
8,1559353
8,1695208
8,2499683
8,2593409
8,11430950
8,14197167
10,11493
10,48626
10,51351
10,2578882
10,2595933
10,3255925
10,15106264
11,9768
11,24141
11,1416274
11,10079347
19,7130
19,815092
19,1822110
19,1854432
19,16067451
19,20551001
20,33067
20,312781
20,316846
20,441733
20,443769
20,625580
20,629612
20,810489
20,1576629
20,2438399
20,2578255
20,2743854
20,10389737
20,18755002
22,668125
22,1601421
27,36607
27,470192
27,862759
27,14280372
27,17435361
29,13455
29,18689
29,55012
29,504095
29,581442
29,714669
29,1012409
29,1526063
29,3288878
29,9719994
29,12681763
32,249088
32,249089
32,1352840
32,1691402
32,1695607
32,2333218
32,11381018
32,17190625
32,18783384
33,352018
33,352019
33,947359
33,1035455
33,1075473
33,1090168
33,1203872
33,2593007
34,52948
34,573886
35,11672
35,35607
35,53599
35,55349
35,249097
35,312235
35,424103
35,424165
35,424416
35,424432
35,424563
35,430150
35,444185
35,496619
35,1047580
35,1130077
35,2359022
35,19501376
43,8299
43,13680
43,26084
43,37438
43,53990
43,395285
43,535842
43,583919
43,666352
43,854283
43,1045447
43,1341409
43,1392593
43,2592905
43,2732824
43,12231525
45,16719
45,489873
45,832863
45,943391
47,811264
47,812788
47,1092733
47,1107844
47,2295924
47,2550880
47,12459853
47,15085299
49,17507
49,447240
49,483454
49,2598008
49,2598013
49,2598018
49,4412449
49,12682159
49,13560541
51,15602
51,2745323
51,12611569
51,12764528
53,4322
53,5972
53,1153088
53,1336715
53,1822186
53,12072127
55,53969
55,1707695
57,23385
57,123217
58,18871
58,21728
58,23351
58,820914
58,1232282
58,1422563
58,1542030
58,1542069
58,1811435
58,1811456
58,3007916
58,3007917
58,5926262
58,12265113
58,16209921
58,16360724
58,16410970
67,6635
67,49537
67,55514
67,808972
67,814538
67,1390843
67,1390934
67,1845302
67,18173502
73,20149
73,29538
73,37442
73,37461
73,112886
73,120380
73,484632
73,486470
73,649727
73,700265
73,1154605
73,1473266
73,1527896
73,2494789
73,11342129
81,32550
81,850947
82,46992
82,249136
82,994838
84,832848
84,1480933
84,12829746
85,13458
85,475372
85,817235
85,2150958
85,2244604
89,31985
89,36185
89,1216660
89,1739251
89,1739252
89,10429919
90,14263
90,49543
90,1247149
90,2726179
90,2732246
90,11341213
90,13518457
91,17481
91,51420
91,249147
91,1512472
91,3255593
98,43094
98,830180
98,2500978
100,5292
100,10930
100,28953
100,111040
100,931873
100,997462
100,2741153
100,3094184
100,3223851
100,5925238
103,499811
103,1591862
103,1938160
105,19627
105,26434
105,40526
105,47752
105,249158
105,713391
105,1099304
105,1335484
105,1680476
105,1736695
105,1796294
105,1871764
105,1993121
105,2085520
105,5733683
105,9025157
105,9325066
105,10748119
105,11600103
105,12112481
105,20028588
105,20395294
106,24323
106,112888
106,249163
106,441825
106,486476
106,506552
106,599910
106,806054
106,824064
106,853943
106,1382960
106,1669690
106,1756555
106,2487787
106,11829466
109,19114
109,489724
109,662719
109,931819
109,1505865
111,7046
111,498997
111,531403
111,531416
111,572415
111,1863014
111,3281006
111,6244699
111,9961200
111,12240561
111,12240592
111,12240613
111,17638003
113,11494
113,32469
113,502814
113,537543
113,1541696
113,2585071
113,3095306
113,12274930
113,17899010
122,572827
122,572830
123,111043
123,502785
123,841063
123,1003727
123,1044475
123,1045099
123,1107843
123,1179668
123,1268861
123,1469308
123,2496668
123,9492200
123,10390330
123,12107057
123,12344088
123,15371911
123,17638014
126,713362
126,804134
126,1473816
126,2144944
126,13321882
126,13374671
128,19300
128,38019
130,25143
130,51503
130,249184
130,340676
130,866777
141,30257
141,487146
141,580370
141,837812
141,963125
141,1506888
141,1847923
141,5733053
141,6240786
145,29668
145,383143
145,2726147
145,2726180
145,2743781
145,2748664
158,1846590
158,12758987
161,2110337
161,2145417
166,806321
166,2732827
168,1933677
168,3144065
169,249195
169,2724435
178,9144
178,10081
182,6835
182,122561
182,249209
182,400672
182,418845
182,469672
182,486490
182,1065299
182,1375269
182,1584207
182,2487792
182,3287891
182,19548685
186,13869
186,14653
186,15219
186,20888
186,36575
186,37453
186,249211
186,659509
186,824785
186,1035500
186,1510377
186,1597957
186,1626103
186,2532800
186,3091857
186,3091858
186,5758912
187,15985
187,16862
187,20886
187,922905
187,930202
187,1448293
187,4005389
187,6304982
187,10642041
187,12664700
189,10237
189,1232276
189,3093324
190,13349
190,28201
190,35583
190,249220
190,568160
190,635843
190,857370
190,1329100
190,1392178
190,2942445
190,11476567
190,16317987
190,20029159
197,1312630
197,1944031
197,1946132
197,1955668
197,1988009
197,2004655
197,2008765
197,2008791
197,2009614
197,2017007
197,2019665
197,2022737
197,2032621
197,2050295
197,2073684
197,2074867
197,2075037
197,2086656
197,2091111
197,2094650
197,2094685
197,2109417
197,2151855
197,2282280
197,2332463
197,3250211
197,3263613
197,5796304
197,5827862
197,5992091
197,6075965
197,10634010
199,3236
199,19805
199,26226
199,432758
199,448136
199,610966
199,1654984
202,3244
202,21526
202,529746
202,576935
202,576959
202,604869
202,623551
202,989215
202,1473814
202,1650902
202,2141561
202,2735048
202,3253292
202,12072122
202,12668000
202,13652074
203,15373
203,249227
203,483596
205,3257
205,3259
205,32692
205,3223900
205,3257274
207,11743
207,21859
207,1094237
207,5827902
207,11091715
207,11091717
207,19055372
210,8516
210,11027
210,16141
210,489802
210,619891
210,830547
210,1270908
210,3251918
211,1143
211,5979
211,20090
211,24591
211,249231
211,249232
211,662765
211,663376
211,1083248
211,1814628
211,2141540
211,2482762
211,2484457
211,2944144
211,3092397
211,19467006
212,19496
212,35155
212,446994
212,815688
212,1288975
212,1330453
212,1561206
212,1577760
212,1690701
212,2270309
212,12727989
214,16959
214,25307
214,306543
214,918407
214,1232827
214,1289789
214,1307217
214,1445742
214,1625057
214,1960410
214,1968608
214,1999929
214,2007710
214,2025815
214,2038636
214,2045090
214,2088851
214,2091098
214,2109243
214,2200076
214,2433857
214,3299770
216,282374
216,1528458
216,1938158
216,2518830
217,16376
217,37067
217,37459
217,700308
217,1252601
217,2492451
217,11342112
